# This file is generated by gfold V1.1.1						
# Normalization constants :						
#    7600_Gfold.read_cnt	46669976	1				
#    FV013_Gfold.read_cnt	266393578	5.20494				
# The GFOLD value could be considered as a reliable log2 fold change.						
# It is positive/negative if the gene is up/down regulated.						
# A gene with zero GFOLD value should never be considered as 						
# differentially expressed. For a comprehensive description of 						
"# GFOLD, please refer to the manual."						
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM
FVEG_00001	NA	0	1	-1.37988	0	0.0125128
FVEG_00002	NA	0.938663	1	3.72864	0	1.11957
FVEG_00003	NA	-3.92434	1	-5.70181	1.38085	0.0166838
FVEG_00004	NA	-1.97076	1	-2.07883	15.0789	3.25504
FVEG_00005	NA	-1.70306	1	-1.8105	12.2867	3.19476
FVEG_00006	NA	-4.71068	1	-5.37988	2.5031	0.0528064
FVEG_00007	NA	-0.583552	1	-1.05795	0.377384	0.16896
FVEG_00008	NA	-0.626055	1	-3.11685	0.0798028	0.0069904
FVEG_00009	NA	0	1	-2.37988	0	0
FVEG_00010	NA	-1.94002	1	-4.70181	0.549412	0.0106947
FVEG_00011	NA	-5.14182	1	-5.44752	11.3304	0.235089
FVEG_00012	NA	0	1	-0.312766	0.585673	0.437948
FVEG_00013	NA	-1.89306	1	-3.53188	0.50261	0.037075
FVEG_00014	NA	-4.31897	1	-4.65693	13.998	0.502339
FVEG_00015	NA	-1.34473	1	-1.46532	6.71661	2.21894
FVEG_00016	NA	-1.382	1	-1.5028	7.02192	2.26027
FVEG_00017	NA	-0.94081	1	-0.989543	51.9112	23.8424
FVEG_00018	NA	-0.208575	1	-0.373792	9.21276	6.49248
FVEG_00019	NA	-0.233038	1	-0.37988	0.155268	0.120465
FVEG_00020	NA	2.18948	1	2.80757	0.803514	5.3375
FVEG_00021	NA	0	1	-0.794918	0	0.00559857
FVEG_00022	NA	0	1	1.32056	0	0.0380136
FVEG_00023	NA	-0.0826585	1	-2.86531	0.0775874	0.00906178
FVEG_00024	NA	-1.80314	1	-2.33549	0.62961	0.113861
FVEG_00025	NA	-3.03069	1	-5.08032	0.249152	0.00363745
FVEG_00026	NA	-6.99127	1	-7.2485	96.6043	0.575874
FVEG_00027	NA	-6.07896	1	-7.85561	1.51818	0.00302242
FVEG_00028	NA	-1.70181	1	-1.79492	0.052724	0.0147789
FVEG_00029	NA	-3.4938	1	-6.46734	0.134129	0
FVEG_00031	NA	-1.20617	1	-1.64291	0.429864	0.127445
FVEG_00032	NA	0	1	-1.37988	0	0.00508651
FVEG_00033	NA	0	1	-1.37988	0	0.0027261
FVEG_00034	NA	0	1	0.790045	0	0.0368024
FVEG_00035	NA	-1.37191	1	-1.55859	6.85346	2.12336
FVEG_00036	NA	-0.820623	1	-0.964607	7.44524	3.48168
FVEG_00037	NA	-2.1272	1	-2.2687	19.3414	3.66015
FVEG_00039	NA	-5.33961	1	-5.47224	91.8903	1.88511
FVEG_00040	NA	-1.68545	1	-2.11474	2.41642	0.509504
FVEG_00041	NA	3.46366	1	5.20508	0.0147569	0.990167
