#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM	up or down
FVEG_00006	NA	-4.71068	1	-5.37988	2.5031	0.0528064	d
FVEG_00011	NA	-5.14182	1	-5.44752	11.3304	0.235089	d
FVEG_00014	NA	-4.31897	1	-4.65693	13.998	0.502339	d
FVEG_00026	NA	-6.99127	1	-7.2485	96.6043	0.575874	d
FVEG_00027	NA	-6.07896	1	-7.85561	1.51818	0.00302242	d
FVEG_00039	NA	-5.33961	1	-5.47224	91.8903	1.88511	d
FVEG_00052	NA	-5.70286	1	-6.45732	13.2644	0.130003	d
FVEG_00053	NA	-4.4871	1	-4.99655	2.34106	0.0656214	d
FVEG_00061	NA	-5.10744	1	-6.79492	0.740079	0.00411606	d
FVEG_00071	NA	-4.10436	1	-4.42394	16.5615	0.699406	d
FVEG_00074	NA	-5.73204	1	-5.88032	22.4836	0.347458	d
FVEG_00075	NA	-5.81555	1	-6.07131	24.4599	0.329924	d
FVEG_00076	NA	-5.34112	1	-5.40892	183.938	3.9465	d
FVEG_00077	NA	-5.28561	1	-5.36555	169.276	3.74231	d
FVEG_00078	NA	-6.35277	1	-6.48146	211.134	2.15171	d
FVEG_00079	NA	-6.29762	1	-6.51948	11.1686	0.110551	d
FVEG_00083	NA	-5.31955	1	-6.57628	1.09574	0.00936413	d
FVEG_00084	NA	-5.53643	1	-7.20431	0.738864	0.00308197	d
FVEG_00097	NA	5.2235	1	5.56665	1.38607	60.6043	u
FVEG_00112	NA	-4.87277	1	-5.17762	13.2496	0.331603	d
FVEG_00120	NA	-4.21563	1	-5.96484	1.90826	0.0191035	d
FVEG_00121	NA	-6.75311	1	-6.9066	201.341	1.52721	d
FVEG_00129	NA	-6.73198	1	-8.18207	2.38364	0.00600855	d
FVEG_00132	NA	-5.09934	1	-6.68366	2.93212	0.0197571	d
FVEG_00133	NA	-6.81309	1	-7.19076	24.5841	0.151416	d
FVEG_00134	NA	-5.27424	1	-6.27065	2.84729	0.0310002	d
