Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_00006	msf superfamily transporter	"GO:0022891, GO:0016021,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane,  transmembrane transport"	"F, C,  P"		"IPR003663 (PRINTS), IPR005828 (PFAM), IPR003663 (TIGRFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24063 (PANTHER), PTHR24063:SF355 (PANTHER), IPR005829 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0055085, F:GO:0022891, C:GO:0016021, F:GO:0022857, P:GO:0006810,  F:GO:0005215"	"C:membrane, P:transmembrane transport, F:substrate-specific transmembrane transporter activity, C:integral component of membrane, F:transmembrane transporter activity, P:transport, F:transporter activity"
FVEG_00011	zinc finger protein	"GO:0006351, GO:0003677, GO:0005634,  GO:0008270"	"transcription, DNA-templated, DNA binding, nucleus,  zinc ion binding"	"P, F, C,  F"		"IPR015880 (SMART), PF13894 (PFAM), IPR013087 (G3DSA:3.30.160.GENE3D), IPR007219 (PFAM), IPR007087 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR007087 (PROSITE_PROFILES),  SSF57667 (SUPERFAMILY)"	"F:GO:0003676, F:GO:0003677, F:GO:0008270, C:GO:0005634, P:GO:0006351,  F:GO:0046872"	"F:nucleic acid binding, F:DNA binding, F:zinc ion binding, C:nucleus, P:transcription, DNA-templated, F:metal ion binding"
FVEG_00014	probable gegh 16 protein					"IPR021476 (PFAM), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00026	hypothetical protein FVEG_00026					"SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00027	alkaline proteinase	"GO:0043086, GO:0006508, GO:0042802,  GO:0004252"	"negative regulation of catalytic activity, proteolysis, identical protein binding,  serine-type endopeptidase activity"	"P, P, F,  F"	EC:3.4.21	"IPR015500 (PRINTS), G3DSA:3.30.70.80 (GENE3D), IPR000209 (G3DSA:3.40.50.GENE3D), IPR000209 (PFAM), IPR010259 (PFAM), IPR015500 (PANTHER), IPR023827 (PROSITE_PATTERNS), IPR023828 (PROSITE_PATTERNS), IPR022398 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE), IPR000209 (SUPERFAMILY),  IPR009020 (SUPERFAMILY)"	"P:GO:0006508,  F:GO:0004252"	"P:proteolysis, F:serine-type endopeptidase activity"
FVEG_00039	hypothetical protein FVEG_00039					"CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_00052	hypothetical protein FVEG_00052					no IPS match	no IPS match	no IPS match
FVEG_00053	hypothetical protein FVEG_00053					no IPS match	no IPS match	no IPS match
FVEG_00061	set domain-containing protein	GO:0005515	protein binding	F		"IPR001214 (SMART), IPR001214 (PFAM), G3DSA:2.170.270.10 (GENE3D), PTHR22884 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR001214 (PROSITE_PROFILES),  SSF82199 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_00071	hypothetical protein FVEG_00071					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
